"id","course_no","question_no","similarity","created_at"
93,324188,120,0.6973608888101842,2026-09-14 11:58:53.318
94,324192,120,0.6924821711738028,2026-09-14 11:58:53.318
95,333120,121,0.7618581924759853,2026-09-14 11:58:53.318
96,325361,121,0.7320125681513071,2026-09-14 11:58:53.318
97,330387,121,0.7270765270642063,2026-09-14 11:58:53.318
98,333307,122,0.7092928056323886,2026-09-14 11:58:53.318
99,331149,122,0.6791736075123365,2026-09-14 11:58:53.318
100,333276,122,0.6748558080319181,2026-09-14 11:58:53.318
101,330045,125,0.6915995018067799,2026-09-14 11:58:53.318
102,333199,125,0.6876878896344669,2026-09-14 11:58:53.318
103,328833,125,0.6790499980217835,2026-09-14 11:58:53.318
104,326783,128,0.6781571044282587,2026-09-14 11:58:53.318
105,330182,128,0.6741305926240186,2026-09-14 11:58:53.318
106,325404,128,0.6708017398886905,2026-09-14 11:58:53.318
107,332176,130,0.7068201938270411,2026-09-14 11:58:53.318
108,333051,130,0.6852788705702635,2026-09-14 11:58:53.318
109,331703,130,0.6820987424192457,2026-09-14 11:58:53.318
110,324178,142,0.6978504839444952,2026-09-14 11:58:53.318
111,329013,142,0.6972408437252046,2026-09-14 11:58:53.318
112,324947,142,0.6830521022556898,2026-09-14 11:58:53.318
113,332662,148,0.7003864608499474,2026-09-14 11:58:53.318
114,324178,148,0.6764950577473037,2026-09-14 11:58:53.318
115,324947,149,0.72392587169278,2026-09-14 11:58:53.318
116,324178,149,0.6868704872558735,2026-09-14 11:58:53.318
117,332662,149,0.6838767079169725,2026-09-14 11:58:53.318
118,329013,151,0.686932919404779,2026-09-14 11:58:53.318
119,328881,151,0.6704729368842454,2026-09-14 11:58:53.318
120,329013,152,0.7275197963537231,2026-09-14 11:58:53.318
121,329987,152,0.6968486055611167,2026-09-14 11:58:53.318
122,324178,152,0.6945000504943513,2026-09-14 11:58:53.318
123,324947,153,0.7212186518422635,2026-09-14 11:58:53.318
124,332662,153,0.6811829034472965,2026-09-14 11:58:53.318
125,324947,157,0.6967341611700099,2026-09-14 11:58:53.318
126,332930,162,0.6811139128670075,2026-09-14 11:58:53.318
127,332891,162,0.6714828777106692,2026-09-14 11:58:53.318
128,333153,163,0.6982281461577936,2026-09-14 11:58:53.318
129,325988,166,0.676870889364926,2026-09-14 11:58:53.318
130,324887,166,0.6758604788077993,2026-09-14 11:58:53.318
131,333308,166,0.6752389302953485,2026-09-14 11:58:53.318
132,332930,176,0.6708225460704641,2026-09-14 11:58:53.318
133,332930,178,0.6767113058770434,2026-09-14 11:58:53.318
134,332380,180,0.686194822976277,2026-09-14 11:58:53.318
135,326007,189,0.6855174269479689,2026-09-14 11:58:53.318
136,333830,190,0.7198242945007726,2026-09-14 11:58:53.318
137,325850,190,0.6916591331788497,2026-09-14 11:58:53.318
138,332726,190,0.6768687216509931,2026-09-14 11:58:53.318
139,26980,192,0.6712783124236222,2026-09-14 11:58:53.318
140,325579,193,0.6934241564664554,2026-09-14 11:58:53.318
141,324949,193,0.6874911471139433,2026-09-14 11:58:53.318
142,324217,201,0.6936492503142875,2026-09-14 11:58:53.318
143,333210,203,0.6760620497516123,2026-09-14 11:58:53.318
144,330374,203,0.672298699596221,2026-09-14 11:58:53.318
145,174004,205,0.6758044114306684,2026-09-14 11:58:53.318
146,324217,207,0.7436999933670632,2026-09-14 11:58:53.318
147,330947,207,0.7092686933498755,2026-09-14 11:58:53.318
148,324139,208,0.67146331271213,2026-09-14 11:58:53.318
149,174004,211,0.7284562141839015,2026-09-14 11:58:53.318
150,324139,211,0.7130699942300878,2026-09-14 11:58:53.318
151,327162,211,0.7117398200471434,2026-09-14 11:58:53.318
152,326434,212,0.7014917679011579,2026-09-14 11:58:53.318
153,326391,212,0.6822575564422004,2026-09-14 11:58:53.318
154,329166,212,0.6769416943643876,2026-09-14 11:58:53.318
155,327819,213,0.7311502270765484,2026-09-14 11:58:53.318
156,329492,213,0.7158639544647839,2026-09-14 11:58:53.318
157,326035,213,0.6874079913861434,2026-09-14 11:58:53.318
158,40565,214,0.7225873986118859,2026-09-14 11:58:53.318
159,332901,214,0.7129148353237514,2026-09-14 11:58:53.318
160,329808,214,0.69243765552029,2026-09-14 11:58:53.318
161,327162,217,0.713211211853553,2026-09-14 11:58:53.318
162,174004,217,0.6911836756048413,2026-09-14 11:58:53.318
163,333120,217,0.6823525960299169,2026-09-14 11:58:53.318
164,332441,221,0.6703285229022252,2026-09-14 11:58:53.318
165,331842,223,0.6848844466955535,2026-09-14 11:58:53.318
166,331159,223,0.677792039471979,2026-09-14 11:58:53.318
167,333307,225,0.682506712189552,2026-09-14 11:58:53.318
168,332176,226,0.711049015919763,2026-09-14 11:58:53.318
169,327672,226,0.6844444515551771,2026-09-14 11:58:53.318
170,331703,226,0.6785076400224374,2026-09-14 11:58:53.318
171,331149,231,0.722479470020592,2026-09-14 11:58:53.318
172,333276,231,0.6825134062248457,2026-09-14 11:58:53.318
173,332221,231,0.6784365881777924,2026-09-14 11:58:53.318
174,332750,237,0.6721441397394208,2026-09-14 11:58:53.318
175,324947,248,0.7046700991734244,2026-09-14 11:58:53.318
176,332603,250,0.6833840897289989,2026-09-14 11:58:53.318
177,332662,252,0.6783353032249748,2026-09-14 11:58:53.318
178,324178,252,0.6769272915652127,2026-09-14 11:58:53.318
179,324188,253,0.6854875541905276,2026-09-14 11:58:53.318
180,329013,254,0.7068171957373948,2026-09-14 11:58:53.318
181,324971,254,0.6982212073354841,2026-09-14 11:58:53.318
182,324178,254,0.6932427689428593,2026-09-14 11:58:53.318
183,324188,255,0.6812833410529293,2026-09-14 11:58:53.318
184,326826,263,0.6790726467456715,2026-09-14 11:58:53.318
185,324532,269,0.7007528950147609,2026-09-14 11:58:53.318
186,324532,270,0.6991704623482152,2026-09-14 11:58:53.318
187,324078,270,0.6727931042560116,2026-09-14 11:58:53.318
188,332930,271,0.6707409485041282,2026-09-14 11:58:53.318
189,328054,272,0.7197299518492821,2026-09-14 11:58:53.318
190,326646,272,0.6897627099266914,2026-09-14 11:58:53.318
191,329029,272,0.6856159180854553,2026-09-14 11:58:53.318
192,318520,279,0.6891060568648327,2026-09-14 11:58:53.318
193,327470,279,0.6788825582997611,2026-09-14 11:58:53.318
194,22513,279,0.6774256761650972,2026-09-14 11:58:53.318
195,331668,284,0.6921598607073143,2026-09-14 11:58:53.318
196,333108,286,0.7015179165619412,2026-09-14 11:58:53.318
197,327598,286,0.684917174802042,2026-09-14 11:58:53.318
198,324577,288,0.783188951030517,2026-09-14 11:58:53.318
199,324949,288,0.7777665601612788,2026-09-14 11:58:53.318
200,326041,288,0.7549967807306389,2026-09-14 11:58:53.318
201,325936,289,0.6735089311755336,2026-09-14 11:58:53.318
202,327854,295,0.6767738847056478,2026-09-14 11:58:53.318
203,38769,300,0.6702271938749531,2026-09-14 11:58:53.318
204,330947,302,0.6747539229671904,2026-09-14 11:58:53.318
205,330947,303,0.6951418737764352,2026-09-14 11:58:53.318
206,324217,303,0.6719999435100005,2026-09-14 11:58:53.318
207,324192,304,0.6717962662441254,2026-09-14 11:58:53.318
208,174004,305,0.6703269234713286,2026-09-14 11:58:53.318
209,329492,306,0.7609313075338586,2026-09-14 11:58:53.318
210,327819,306,0.7337610194363384,2026-09-14 11:58:53.318
211,29421,306,0.7287074632682501,2026-09-14 11:58:53.318
212,330947,307,0.6991027166089206,2026-09-14 11:58:53.318
213,324217,307,0.6990612658476428,2026-09-14 11:58:53.318
214,324139,311,0.6928143185051701,2026-09-14 11:58:53.318
215,324192,311,0.689762622222589,2026-09-14 11:58:53.318
216,174004,311,0.6793156177816928,2026-09-14 11:58:53.318
217,329551,314,0.6748832124529454,2026-09-14 11:58:53.318
218,326007,318,0.7046542775539307,2026-09-14 11:58:53.318
219,327819,319,0.7277160167821426,2026-09-14 11:58:53.318
220,329492,319,0.7161155892855919,2026-09-14 11:58:53.318
221,326035,319,0.710123892291516,2026-09-14 11:58:53.318
222,331149,322,0.6898617019331567,2026-09-14 11:58:53.318
223,330479,323,0.6755403164690313,2026-09-14 11:58:53.318
224,333307,325,0.6833354410181832,2026-09-14 11:58:53.318
225,332441,326,0.7219745206259782,2026-09-14 11:58:53.318
226,333266,329,0.6976922844451844,2026-09-14 11:58:53.318
227,194516,329,0.6906016494116853,2026-09-14 11:58:53.318
228,333355,329,0.6760765910133676,2026-09-14 11:58:53.318
229,333120,336,0.7305806463228546,2026-09-14 11:58:53.318
